STYCZEŃ,,
02.01.2021,Ziemia najbliżej Słońca (Peryhelium) (Zobacz news),14:51
03.01.2021,Maksimum meteorów z roju Kwadrantydów (ZHR:~100)(Zobacz news),
06.01.2021,Faza Księżyca - ostatnia kwadra,09:37
10.01.2021,"Koniunkcja Merkury i Saturn w odległości - 1°37`
",03:18
11.01.2021,Koniunkcja Merkury i Jowisz w odległości - 1°25`,17:20
11.01.2021,Koniunkcja Księżyc i Wenus w odległości - 1°29`,20:15
13.01.2021,Faza Księżyca - nów,05:00
13.01.2021,Koniunkcja Księżyc i Saturn w odległości - 3°11`,22:11
14.01.2021,Koniunkcja Księżyc i Jowisz w odległości - 3°15`,02:55
14.01.2021,Koniunkcja Księżyc i Merkury w odległości - 2°17`,09:28
17.01.2021,Koniunkcja Księżyc i Neptun w odległości - 4°06`,09:35
20.01.2021,Koniunkcja Mars i Uran w odległości - 1°37`,20:37
20.01.2021,Faza Księżyca - 1 kwadra,21:01
21.01.2021,Koniunkcja Księżyc i Uran w odległości -  3°03`,08:37
21.01.2021,Koniunkcja Księżyc i Mars w odległości -  4°39`,09:09
28.01.2021,Faza Księżyca - pełnia,19:16
LUTY,,
04.02.2021,Faza Księżyca - ostatnia kwadra,17:37
06.02.2021,Koniunkcja Wenus i Saturn w odległości -  0°23`,07:07
10.02.2021,Koniunkcja Księżyc i Saturn w odległości -  3°21`,12:42
10.02.2021,Koniunkcja Księżyc i Wenus w odległości -  3°08`,22:11
10.02.2021,Koniunkcja Księżyc i Jowisz w odległości -  3°34`,23:29
11.02.2021,Koniunkcja Wenus i Jowisz w odległości -  0°26`,15:00
11.02.2021,Faza Księżyca - nów,19:05
13.02.2021,Koniunkcja Merkury i Wenus w odległości -  4°34`,07:49
13.02.2021,Koniunkcja Księżyc i Neptun w odległości -  3°58`,20:11
14.02.2021,Koniunkcja Merkury i Jowisz w odległości -  3°54`,21:40
17.02.2021,Koniunkcja Księżyc i Uran w odległości -  2°48`,17:48
19.02.2021,Koniunkcja Księżyc i Mars w odległości -  3°29`,00:48
19.02.2021,Faza Księżyca - 1 kwadra,18:47
27.02.2021,Faza Księżyca - pełnia,08:17
MARZEC,,
05.03.2021,Koniunkcja Merkury i Jowisz w odległości -  0°20`,03:27
06.03.2021,Faza Księżyca - ostatnia kwadra,01:30
10.03.2021,Koniunkcja Księżyc i Saturn w odległości -  3°36`,00:45
10.03.2021,Koniunkcja Księżyc i Jowisz w odległości -  3°54`,17:58
11.03.2021,Koniunkcja Księżyc i Merkury w odległości -  3°31`,03:32
13.03.2021,Koniunkcja Księżyc i Wenus w odległości -  3°33`,03:29
13.03.2021,Koniunkcja Księżyc i Neptun w odległości -  3°54`,05:52
13.03.2021,Faza Księżyca - nów,10:21
14.03.2021,Koniunkcja Wenus i Neptun w odległości -  0°22`,04:08
17.03.2021,Koniunkcja Księżyc i Uran w odległości -  2°31`,03:37
19.03.2021,Koniunkcja Księżyc i Mars w odległości -  1°52`,18:25
20.03.2021,Astronomiczna Wiosna,09:38
21.03.2021,Faza Księżyca - 1 kwadra,14:40
28.03.2021,Faza Księżyca - pełnia,18:48
30.03.2021,Koniunkcja Merkury i Neptun w odległości -  1°17`,03:24
KWIECIEŃ,,
04.04.2021,Faza Księżyca - ostatnia kwadra,10:02
06.04.2021,Koniunkcja Księżyc i Saturn w odległości -  3°52`,10:32
07.04.2021,Koniunkcja Księżyc i Jowisz w odległości -  4°11`,10:05
09.04.2021,Koniunkcja Księżyc i Neptun w odległości -  3°57`,14:04
11.04.2021,Koniunkcja Księżyc i Merkury w odległości -  2°42`,08:46
12.04.2021,Faza Księżyca - nów,02:30
12.04.2021,Koniunkcja Księżyc i Wenus w odległości -  2°36`,12:07
13.04.2021,Koniunkcja Księżyc i Uran w odległości -  2°18`,13:18
17.04.2021,Koniunkcja Księżyc i Mars w odległości -  0°08`,12:08
20.04.2021,Faza Księżyca - 1 kwadra,06:59
21.04.2021 Maksimum meteorów z roju Lirydów (ZHR:18),
22.04.2021 Maksimum meteorów z roju Lirydów (ZHR:18),
23.04.2021,Koniunkcja Wenus i Uran w odległości - 0°14`,01:01
24.04.2021,Koniunkcja Merkury i Uran w odległości - 0°45`,06:42
25.04.2021,Koniunkcja Merkury i Wenus w odległości - 1°10`,22:20
27.04.2021,Faza Księżyca - pełnia,03:31
MAJ,,
